no,status,first_shown,shown_count,id,name_ja,name_en,domain,domain_top,difficulty,thinkers,related,summary,seed,Obsidian
20,既出,2026/7/8,1,socrates,ソクラテス,Socrates,古代哲学,古代哲学,1,ソクラテス,plato; hermeneutic_dialogue; dialogical_self,書物を残さなかったが、無知の知と問答法（エレンコス）…,書物を残さなかったが、無知の知と問答法（エレンコス）で 西洋哲学の出発点となったアテネの哲学者。 弟子プラトンを通じて、対話と倫理的探求の典型を遺した。,
21,既出,2026/8/11,1,plato,プラトン,Plato,古代哲学,古代哲学,2,プラトン,socrates; aristotle; apophatic_theology,ソクラテスの弟子、対話篇『国家』『饗宴』『ティマイオ…,ソクラテスの弟子、対話篇『国家』『饗宴』『ティマイオス』を 遺したアカデメイアの開祖。イデア論、想起説、哲人王思想で 西洋哲学全体に影を落とした。,
22,既出,2026/9/4,1,poiesis,制作知（ポイエーシス）,Poiesis / Making,古代哲学,古代哲学,2,アリストテレス; マルティン・ハイデガー,aristotle; techne; phronesis; poetics_mimesis; heidegger; device_paradigm,何かを世界に生み出す活動と、それを導く知,何かを世界に生み出す活動と、それを導く知。目的が行為の外にある （作られた物）点で、目的が行為そのものにある実践（プラクシス）と区別される。 ハイデガーは『技術への問い』でポイエーシスを「隠れなさへともたらすこと」 と読み直し、近代技術が自然を用象として立てる態度と対比した。作ることが 何を世界に対して行っているのかを問う枠。,〇
23,既出,2026/5/26,1,kuki_shuzo,九鬼周造,Kuki Shūzō,日本思想,日本思想,3,九鬼周造,nishida_kitaro; mono_no_aware; wabi_sabi,『「いき」の構造』で江戸町人文化の美的範疇を哲学的に…,『「いき」の構造』で江戸町人文化の美的範疇を哲学的に 解析した京都学派の哲学者。ハイデガー・ベルクソンに学び つつ、日本固有の美意識を西洋哲学の手法で記述した。,
24,既出,2026/6/3,1,dogen,道元,Dōgen,日本思想・仏教,日本思想,3,道元,anatman; sunyata; nishida_kitaro,曹洞宗の開祖、『正法眼蔵』を遺した日本思想史最高峰の…,曹洞宗の開祖、『正法眼蔵』を遺した日本思想史最高峰の 禅僧の一人。只管打坐・修証一等を説き、修行と悟りの不二を 独創的な日本語の散文で展開した。,
25,既出,2026/7/1,1,watsuji_tetsuro,和辻哲郎,Watsuji Tetsurō,日本思想・倫理学,日本思想,3,和辻哲郎,nishida_kitaro; intersubjectivity; ma,『風土』『倫理学』で日本独自の倫理学を構築した京都学…,『風土』『倫理学』で日本独自の倫理学を構築した京都学派の 哲学者。風土と人間存在の相互規定、間柄としての人間という 視座で、西洋的個人主義の倫理を再編した。,
26,既出,2026/9/2,1,nishida_kitaro,西田幾多郎,Nishida Kitarō,日本思想,日本思想,3,西田幾多郎,phenomenology; suzuki_daisetsu; sunyata,日本初の独創的哲学体系を構築した京都学派の祖,日本初の独創的哲学体系を構築した京都学派の祖。 『善の研究』で純粋経験を出発点に、後に絶対無の場所論へと 展開、東洋思想と西洋哲学を統合する稀有な試み。,
27,既出,2026/6/18,1,glia,グリア細胞,Glia,神経科学,神経科学,2,神経科学者群,neuroplasticity; homeostasis; engram,ニューロンを支えると考えられてきたグリア細胞が、情報…,ニューロンを支えると考えられてきたグリア細胞が、情報処理・ シナプス可塑性・脳の恒常性に能動的に関与することが近年 明らかに。脳の計算観を更新する細胞群。,
28,既出,2026/6/30,1,interoception,内受容感覚,Interoception,神経科学,神経科学,2,バド・クレイグ,embodied_cognition; allostasis; default_mode_network,心拍・呼吸・空腹など身体内部の状態の感覚,心拍・呼吸・空腹など身体内部の状態の感覚。クレイグらが 脳島皮質を中核基盤と同定、情動・自己感覚・身体意識の 基盤として近年注目を集める。,
29,既出,2026/8/2,1,mirror_neurons,ミラーニューロン,Mirror Neurons,神経科学,神経科学,2,ジャコモ・リッツォラッティ,empathic_understanding; theory_of_mind; embodied_cognition,他者の行為を見たときに、自分が行為するときと同じパタ…,他者の行為を見たときに、自分が行為するときと同じ パターンで発火するニューロン。リッツォラッティらが 1990 年代に発見、共感・模倣・言語の起源解明への手がかり。,
30,既出,2026/8/7,1,allostasis,アロスタシス,Allostasis,神経科学・生理学,神経科学,3,ピーター・スターリング,homeostasis; predictive_processing; interoception,スターリングが提唱、変化を通じた安定化—予測に基づき…,スターリングが提唱、変化を通じた安定化—予測に基づき 先回りで内部状態を調整する生体の動的恒常性。慢性 ストレス・うつ病の理解にも応用される。,
31,既出,2026/8/13,1,engram,エングラム,Engram,神経科学,神経科学,3,リヒャルト・セモン; 利根川進,neuroplasticity; predictive_processing; qualia,セモンが提唱、利根川進らが光遺伝学で実証した記憶痕跡…,セモンが提唱、利根川進らが光遺伝学で実証した記憶痕跡の 物質的基盤。特定の神経細胞集団に符号化された記憶を 活性化・消去できることが示された。,
32,既出,2026/6/4,1,symbiogenesis,共生進化,Symbiogenesis,進化生物学,進化生物学,2,リン・マーギュリス,autopoiesis; emergence; selfish_gene,マーギュリスが提唱した、真核細胞・ミトコンドリア・葉…,マーギュリスが提唱した、真核細胞・ミトコンドリア・葉緑体の 起源を異種共生に求める進化論。競争中心のダーウィン主義に 対し、協働を進化の原動力に据える視座。,
33,既出,2026/8/3,1,extended_phenotype,拡張表現型,Extended Phenotype,進化生物学,進化生物学,2,リチャード・ドーキンス,selfish_gene; extended_mind; autopoiesis,ドーキンスが提唱した、遺伝子の表現型は個体の身体に閉…,ドーキンスが提唱した、遺伝子の表現型は個体の身体に閉じず、 ビーバーのダムや蜘蛛の巣など外的構造にも及ぶという視座。 遺伝子―環境の関係を再定義した。,
34,既出,2026/8/27,1,genetic_drift,遺伝的浮動,Genetic Drift,進化生物学・集団遺伝学,進化生物学,2,木村資生,selfish_gene; fitness_landscape; emergent_evolution,自然選択ではなく偶然のサンプリング誤差で対立遺伝子頻…,自然選択ではなく偶然のサンプリング誤差で対立遺伝子頻度が 世代間で変動する現象。木村資生の中立進化説では分子進化の 主要因として位置づけられ、適応至上主義に修正を迫った。,
35,既出,2026/9/7,1,selfish_gene,利己的遺伝子,Selfish Gene,進化生物学,進化生物学,1,リチャード・ドーキンス,ess; emergence; falsifiability,ドーキンスが『利己的な遺伝子』で打ち立てた、個体・種…,ドーキンスが『利己的な遺伝子』で打ち立てた、個体・種では なく遺伝子を進化の単位と見る視座。利他行動も遺伝子の 運搬戦略として説明される。,
36,既出,2026/9/20,1,coevolution,共進化,Coevolution,進化生物学,進化生物学,2,生態学者群,symbiogenesis; red_queen_hypothesis; ess,相互作用する複数の種が、互いの進化的変化に応じて適応…,相互作用する複数の種が、互いの進化的変化に応じて適応し 合う進化過程。捕食者と被食者、花とポリネーターのような 共進化関係が生態系の複雑性を生む。,
37,既出,2026/5/2,1,anatman,無我,Anātman / Non-Self,仏教哲学,仏教哲学,2,釈迦,dependent_origination; sunyata,永続的・実体的な「自我」は存在しないという教説,永続的・実体的な「自我」は存在しないという教説。 自己とは諸要素の流動的集合体。 西洋の主体哲学への根本的挑戦。,
38,既出,2026/6/16,1,dependent_origination,縁起,Pratītyasamutpāda / Dependent Origination,仏教哲学,仏教哲学,2,釈迦; ナーガールジュナ,sunyata; anatman,すべての現象は他の条件に依存して生じる,すべての現象は他の条件に依存して生じる。 独立した実体は存在しない。 仏教の核心的存在論。,
39,既出,2026/7/30,1,muga,無我（日本的展開）,Muga,仏教哲学・日本思想,仏教哲学,2,日本仏教各派,anatman; dogen; flow_experience,禅・武道・茶道に通底する日本的『無我』,禅・武道・茶道に通底する日本的『無我』。自我の主張を脱した 境地で、行為と動作が自ずから流れ出る状態。フロー体験や 没我との接点も指摘される、東洋的主体観の核心。,
40,既出,2026/9/8,1,yogachara,唯識,Yogācāra / Vijñapti-mātra,仏教哲学,仏教哲学,3,無著; 世親; 玄奘,sunyata; intentionality; qualia,一切は識（意識）の現れであるとする大乗仏教の学派,一切は識（意識）の現れであるとする大乗仏教の学派。 阿頼耶識を含む八識の構造で心のはたらきを分析する。,
41,既出,2026/6/28,1,measurement_problem,観測問題,Measurement Problem,量子力学,量子力学,3,量子論研究者群,copenhagen_interpretation; many_worlds_interpretation; schrodingers_cat,量子重ね合わせ状態がどのようにして観測時に確定値を取…,量子重ね合わせ状態がどのようにして観測時に確定値を取る に至るのか、という量子力学の根本的解釈問題。観測者の 役割、デコヒーレンスを巡る議論が現在も続く。,
42,既出,2026/7/6,1,copenhagen_interpretation,コペンハーゲン解釈,Copenhagen Interpretation,量子力学,量子力学,3,ニールス・ボーア; ヴェルナー・ハイゼンベルク,uncertainty_principle; measurement_problem; schrodingers_cat,ボーアとハイゼンベルクが主導した、量子力学の標準的解釈,ボーアとハイゼンベルクが主導した、量子力学の標準的解釈。 観測前は波動関数として可能性が重畳、観測で確率的に 収縮する—測定の根源的役割を強調。,
43,既出,2026/8/20,1,schrodingers_cat,シュレーディンガーの猫,Schrödinger's Cat,量子力学,量子力学,2,エルヴィン・シュレーディンガー,uncertainty_principle; quantum_entanglement; ontology,シュレーディンガーが量子重ね合わせの不条理を示すため…,シュレーディンガーが量子重ね合わせの不条理を示すために 提案した思考実験。箱を開けるまで猫は生死の重ね合わせにある— 観測問題と量子の存在論を象徴する逸話。,
44,既出,2026/9/10,1,epr_paradox,EPRパラドックス,EPR Paradox,量子力学,量子力学,3,アインシュタイン; ポドルスキー; ローゼン,quantum_entanglement; uncertainty_principle; copenhagen_interpretation,アインシュタイン・ポドルスキー・ローゼンが1935年…,アインシュタイン・ポドルスキー・ローゼンが 1935 年論文で 提示、量子力学の不完全性を示そうとした思考実験。後の ベル不等式実験で量子非局所性が確認され、逆に量子論を擁護。,
45,既出,2026/7/14,1,social_psychology,社会心理学,Social Psychology,心理学・社会学,心理学,1,クルト・レヴィン; ソロモン・アッシュ,heuristics; dual_process_theory; habitus,個人の思考・感情・行動が、他者や集団からどう影響を受…,個人の思考・感情・行動が、他者や集団からどう影響を受けるかを 実験的・体系的に研究する。同調・服従・偏見・態度変容など、 日常の社会場面を理解する鍵概念群を提供する。,〇
46,既出,2026/6/11,1,transfer_learning,転移学習,Transfer Learning,機械学習,機械学習,2,機械学習研究者群,foundation_model; representation_learning; knowledge_transfer,ある領域で学習した知識を別の領域に転用する技法,ある領域で学習した知識を別の領域に転用する技法。 事前学習済みモデルのファインチューニングが代表例、 人間の学習との類比でも注目される機械学習の戦略。,〇
47,既出,2026/7/15,1,overfitting,過学習,Overfitting,機械学習,機械学習,1,統計学者・機械学習研究者群,inductive_bias; transfer_learning; falsifiability,訓練データに過剰適応し、未知データへの汎化性能を失う…,訓練データに過剰適応し、未知データへの汎化性能を失う 機械学習の典型的失敗。バイアス―分散トレードオフ、 正則化・交差検証といった対策の動機となる中核概念。,
48,既出,2026/5/10,2,abduction,アブダクション,Abduction,科学哲学・論理学,科学哲学,2,パース,falsifiability,観察された事実から、それを最もよく説明する仮説を導く推論,観察された事実から、それを最もよく説明する仮説を 導く推論。演繹・帰納と並ぶ第三の推論形式。 科学的発見の論理。,〇
49,既出,2026/5/11,1,falsifiability,反証可能性,Falsifiability,科学哲学,科学哲学,2,カール・ポパー,paradigm_shift; abduction,科学的命題は「反証されうる」形式でなければならない,科学的命題は「反証されうる」形式でなければならない。 検証ではなく反証可能性が科学と非科学の境界を画す。,〇
50,既出,2026/5/14,1,paradigm_shift,パラダイムシフト,Paradigm Shift,科学哲学・科学史,科学哲学,1,トマス・クーン,falsifiability,科学の発展は累積的ではなく、共有される世界観（パラダ…,科学の発展は累積的ではなく、共有される世界観 （パラダイム）が断絶的に変わる「革命」を経て進む。,〇
51,既出,2026/6/29,2,kuhn,クーン,Kuhn,科学哲学,科学哲学,2,トマス・クーン,paradigm_shift; falsifiability; foucault,『科学革命の構造』で科学の進歩を累積ではなく断絶とし…,『科学革命の構造』で科学の進歩を累積ではなく断絶として 描いた科学哲学者。通常科学と科学革命の交替、不可通約性 概念で 20 世紀後半の科学観を一変させた。,
52,既出,2026/8/24,1,feyerabend,ファイアアーベント,Feyerabend,科学哲学,科学哲学,3,パウル・ファイアアーベント,paradigm_shift; falsifiability; kuhn,『方法への挑戦』で『なんでもあり』を掲げた科学哲学の…,『方法への挑戦』で『なんでもあり』を掲げた科学哲学の 挑発者。科学的方法の単一性を批判、知の多様性と政治性を 露わにし、科学万能主義への対抗軸となった。,
53,既出,2026/7/20,1,actor_network_theory,アクターネットワーク理論,Actor-Network Theory,科学技術社会論,科学技術社会論,3,ブルーノ・ラトゥール; ジョン・ロー,extended_mind; rhizome,人間だけでなくモノや技術も「アクター」として社会を構…,人間だけでなくモノや技術も「アクター」として 社会を構成すると見る理論。 主体／客体、社会／自然の二分法を解体。,
54,既出,2026/8/29,1,latour,ラトゥール,Latour,科学技術社会論,科学技術社会論,3,ブルーノ・ラトゥール,actor_network_theory; foucault; ethnography,『科学が作られているとき』『社会的なものを組み直す』…,『科学が作られているとき』『社会的なものを組み直す』で科学 技術社会論を一新したフランス人類学者・哲学者。アクター ネットワーク理論で、人と物を等価に扱う社会理論を構築した。,
55,既出,2026/5/22,1,wild_knowledge,ワイルドナレッジ,Wild Knowledge,認識論・人類学,認識論,2,クロード・レヴィ=ストロース,tacit_knowledge; habitus,体系化されない実践知、現場で生まれる即興的な知,体系化されない実践知、現場で生まれる即興的な知。 レヴィ=ストロース『野生の思考』が示した、 分類と隠喩で世界を読み解く非西欧的な知のあり方。,〇
56,既出,2026/6/21,1,tacit_knowledge,暗黙知,Tacit Knowledge,認識論・経営学,認識論,1,マイケル・ポランニー; 野中郁次郎,seci_model; embodied_cognition; habitus,言語化できないが確実に持っている知識,言語化できないが確実に持っている知識。 「我々は語れる以上のことを知っている」。 SECIモデルの起点となる概念。,〇
57,既出,2026/7/5,1,copernican_revolution,コペルニクス的転回,Copernican Revolution,認識論,認識論,2,カント,kant; ding_an_sich; phenomenology,カントが『純粋理性批判』で行った認識論の転換,カントが『純粋理性批判』で行った認識論の転換。 対象が認識を規定するのではなく、認識が対象を構成すると いう発想の逆転を、コペルニクスの天文学革命になぞらえた。,〇
58,既出,2026/7/22,1,collaborative_abduction,協働アブダクション,Collaborative Abduction,認識論・組織学習,認識論,3,チャールズ・パース; 組織学習研究者,abduction; knowledge_management; ethnography,複数の視点を持つメンバーが対話を通じて仮説を共同生成…,複数の視点を持つメンバーが対話を通じて仮説を共同生成する プロセス。個人の直観に閉じない、集団的な驚きと洞察の運動。,〇
59,既出,2026/8/6,1,arendt,アーレント,Arendt,政治哲学,政治哲学,2,ハンナ・アーレント,responsibility_for_other; foucault; panopticon,『人間の条件』『全体主義の起源』で20世紀の政治哲学…,『人間の条件』『全体主義の起源』で 20 世紀の政治哲学を 再定義したユダヤ系思想家。労働・仕事・活動の区別、 悪の凡庸さといった概念で、公共と私的領域の意味を問い直した。,
60,既出,2026/6/5,1,fractal,フラクタル,Fractal,数学・複雑系,数学,1,ブノワ・マンデルブロ,mandelbrot; emergence; dissipative_structure,マンデルブロが発見した、どの尺度で見ても自己相似な幾…,マンデルブロが発見した、どの尺度で見ても自己相似な 幾何構造。海岸線・血管・気象・市場変動など自然と社会の 多くの現象に共通する複雑性の数理的記述。,
61,既出,2026/8/9,1,mandelbrot,マンデルブロ,Mandelbrot,数学,数学,2,ブノワ・マンデルブロ,fractal; emergence; dissipative_structure,フラクタル幾何学を開いたポーランド系フランス・米国の…,フラクタル幾何学を開いたポーランド系フランス・米国の数学者。 自然界の不規則な形（海岸線・雲・株価変動）に自己相似性を 発見、伝統的幾何学を超える視座を開いた。,
62,既出,2026/5/2,1,theory_of_mind,心の理論,Theory of Mind,発達心理学・認知科学,発達心理学,1,プレマック; ウッドラフ,metacognition; intersubjectivity,他者にも自分とは異なる心的状態（信念・意図）があると…,他者にも自分とは異なる心的状態（信念・意図）が あると理解する能力。4歳前後で発達するとされる。 社会的認知の基盤。,
63,既出,2026/8/4,1,vygotsky,ヴィゴツキー,Vygotsky,発達心理学,発達心理学,2,レフ・ヴィゴツキー,piaget; communicative_competence; knowledge_transfer,『思考と言語』『高次精神機能の発達史』で社会文化的発…,『思考と言語』『高次精神機能の発達史』で社会文化的発達 理論を打ち立てたロシアの心理学者。発達の最近接領域・ 足場かけ概念で教育心理学の基盤を作った。,
64,既出,2026/9/13,1,piaget,ピアジェ,Piaget,発達心理学,発達心理学,2,ジャン・ピアジェ,vygotsky; metacognition; theory_of_mind,子どもの認知発達を4段階で記述したスイスの発達心理学者,子どもの認知発達を 4 段階で記述したスイスの発達心理学者。 同化・調節・均衡化のメカニズムで、知性は能動的な 構成過程であると示した構成主義の祖。,
65,既出,2026/6/8,1,responsibility_for_other,他者への応答可能性,Responsibility for the Other,倫理学・現象学,倫理学,3,エマニュエル・レヴィナス,i_thou; intersubjectivity; sorge,他者の顔の前で、応答せずにいられないという無限の倫理…,他者の顔の前で、応答せずにいられないという無限の倫理的 呼びかけ。レヴィナスは存在論を超えて『他者への応答可能性』 を第一哲学とし、暴力なき関係の可能性を問うた。,
66,既出,2026/9/3,1,levinas,レヴィナス,Levinas,倫理学・現象学,倫理学,3,エマニュエル・レヴィナス,responsibility_for_other; i_thou; intersubjectivity,ホロコースト体験を経て、存在論を超える倫理を第一哲学…,ホロコースト体験を経て、存在論を超える倫理を第一哲学として 打ち立てたリトアニア出身のユダヤ系哲学者。『全体性と無限』 で他者の顔の倫理的呼びかけを思考した。,
67,既出,2026/5/2,1,ethnography,エスノグラフィー,Ethnography,文化人類学・社会学,文化人類学,1,マリノフスキー; ギアーツ,qualitative_research,参与観察を通じて、ある集団の文化や生活様式を内側から…,参与観察を通じて、ある集団の文化や生活様式を 内側から記述する手法。「厚い記述」が鍵。,
68,既出,2026/5/15,1,ma,間（ま）,Ma / Negative Space,日本美学,日本美学,2,磯崎新; 武満徹,mono_no_aware,時間や空間における「あいだ」「余白」を積極的に意味あ…,時間や空間における「あいだ」「余白」を積極的に 意味あるものとして捉える日本的感性。 沈黙、間合い、余白の美学。,
69,既出,2026/9/19,1,kintsugi,金継ぎ,Kintsugi,日本美学,日本美学,1,千利休,wabi_sabi; mono_no_aware; yanagi_soetsu; maintenance_studies; ma,割れた器を漆と金銀で継ぎ、傷を隠さずむしろ景色として…,割れた器を漆と金銀で継ぎ、傷を隠さずむしろ景色として見せる修繕の技法。 繕われた物が特別なのは、繕う価値があったからにほかならない——修理を 価値の減少ではなく増加として扱う点が西洋の「恥ずべき必要」と対照的。 わび・さびと不可分で、時間と損傷を作品の一部として引き受ける美学。,
70,既出,2026/8/25,1,marx,マルクス,Marx,社会哲学・経済学,社会哲学,2,マルクス,hegel; foucault; bourdieu,『資本論』『経済学・哲学草稿』で資本主義を解剖し、2…,『資本論』『経済学・哲学草稿』で資本主義を解剖し、 20 世紀政治史を動かした哲学者・経済学者。疎外論・物象化・ 上部下部構造で、社会の物質的基礎を分析する方法を遺した。,
71,既出,2026/6/1,1,human_capital,人的資本,Human Capital,経済学,経済学,1,ゲーリー・ベッカー; セオドア・シュルツ,career_anchor; knowledge_management; knowledge_transfer,人間の知識・技能・健康を、生産性を高める『資本』とし…,人間の知識・技能・健康を、生産性を高める『資本』として 捉える経済学概念。教育・訓練への投資が長期的リターンを 生むという視座の転換。,
72,既出,2026/8/17,1,behavioral_economics,行動経済学,Behavioral Economics,経済学・心理学,経済学,1,カーネマン; トヴェルスキー; セイラー,nudge; prospect_theory; heuristics,人間は完全に合理的ではなく、認知バイアスやヒューリス…,人間は完全に合理的ではなく、認知バイアスや ヒューリスティックに従うという前提で 経済行動を分析する分野。,〇
73,既出,2026/9/12,1,gdp,国内総生産（GDP）,Gross Domestic Product,経済学,経済学,1,サイモン・クズネッツ; ジョン・メイナード・ケインズ; リチャード・ストーン; ウィリアム・ペティ,quantification; goodharts_law; human_capital; marx; tragedy_of_commons,一定期間に経済で生産された貨幣価値の総和,一定期間に経済で生産された貨幣価値の総和。1941 年に英財務省で ケインズの指導下に成立した。前史は 1665 年ペティの政治算術（戦費を賄う 課税能力の査定）。設計者クズネッツ自身は厚生を測るつもりで、軍備や 投機の支出は差し引くべきだと論じたが、第二次大戦が「厚生は平時の贅沢」 として退けた。家庭内の無償労働を除外しながら政府支出は含めるという 内的不整合を抱える構築物。W15 の主軸。,
74,既出,2026/5/8,1,middle_voice,中動態,Middle Voice,言語哲学・現代日本哲学,言語哲学,3,國分功一郎; バンヴェニスト,language_game; conatus; being_in_the_world,能動／受動の二項では捉えきれない、行為が主体の内側で…,能動／受動の二項では捉えきれない、行為が主体の内側で 起こる古代ギリシア語の文法カテゴリー。 意志と責任の哲学を再考する手がかり。,〇
75,既出,2026/5/28,1,language_game,言語ゲーム,Language Game,言語哲学,言語哲学,2,ヴィトゲンシュタイン,linguistic_relativity; middle_voice,言葉の意味は辞書的定義にではなく、特定の生活様式のな…,言葉の意味は辞書的定義にではなく、特定の生活様式の なかでの「使用」にある。語の意味はゲームのルールに似る。,
